"MTurk_ID","username","id","Role","survey","mentions"
"A2DDLZD87UHANI","Scott_2906",2541,"sockpuppet",5,0
"AZTYIBLLB60V8","Tanner_3719",2703,"participant",1,0
"AZTYIBLLB60V8","Tanner_3719",2703,"participant",2,0
"AZTYIBLLB60V8","Tanner_3719",2703,"participant",3,0
"AZTYIBLLB60V8","Tanner_3719",2703,"participant",4,0
"AZTYIBLLB60V8","Tanner_3719",2703,"participant",5,1
"A38RHRTIP0PYNU","Tanner_8311",2564,"sockpuppet",2,0
"APRZ7BR8C0ZMQ","Willie_4763",2388,"sockpuppet",1,0
"APRZ7BR8C0ZMQ","Willie_4763",2388,"sockpuppet",2,0
"APRZ7BR8C0ZMQ","Willie_4763",2388,"sockpuppet",3,0
"APRZ7BR8C0ZMQ","Willie_4763",2388,"sockpuppet",4,1
"A3FJ3XMXO8UAJ0","Willie_6344",2339,"observer",1,0
"A3FJ3XMXO8UAJ0","Willie_6344",2339,"observer",2,0
"A3FJ3XMXO8UAJ0","Willie_6344",2339,"observer",3,0
"A3FJ3XMXO8UAJ0","Willie_6344",2339,"observer",4,0
"A3FJ3XMXO8UAJ0","Willie_6344",2339,"observer",5,0
"A2DDLZD87UHANI","Willie_6658",2543,"sockpuppet",1,1
"A2DDLZD87UHANI","Willie_6658",2543,"sockpuppet",2,0
"A2DDLZD87UHANI","Willie_6658",2543,"sockpuppet",3,0
"A2DDLZD87UHANI","Willie_6658",2543,"sockpuppet",4,0
"ASQ460H8M8OOT","Willie_8565",2441,"sockpuppet",1,0
