id|query|createdAt|updatedAt|UserId
220|jacob|2020-09-03 14:05:21.169+00|2020-09-03 14:05:21.169+00|2561
221|gmo|2020-09-03 14:07:23.313+00|2020-09-03 14:07:23.313+00|2683
222|government|2020-09-03 14:08:12.618+00|2020-09-03 14:08:12.618+00|2703
223|gmo|2020-09-03 14:25:03.238+00|2020-09-03 14:25:03.238+00|2735
224|""|2020-09-03 14:29:57.996+00|2020-09-03 14:29:57.996+00|2564
225|environment|2020-09-03 14:38:08.12+00|2020-09-03 14:38:08.12+00|2627
226|world|2020-09-03 14:39:02.153+00|2020-09-03 14:39:02.153+00|2627
227|covid|2020-09-03 14:39:09.322+00|2020-09-03 14:39:09.322+00|2627
228|korea|2020-09-03 14:40:55.133+00|2020-09-03 14:40:55.133+00|2627
229|war|2020-09-03 14:40:58.726+00|2020-09-03 14:40:58.726+00|2627
230|UN|2020-09-03 14:41:02.773+00|2020-09-03 14:41:02.773+00|2627
231|nuclear|2020-09-03 14:41:30.151+00|2020-09-03 14:41:30.151+00|2627
232|tax|2020-09-03 14:43:00.07+00|2020-09-03 14:43:00.07+00|2627
233|gmo|2020-09-03 14:43:14.048+00|2020-09-03 14:43:14.048+00|2627
234|world|2020-09-03 14:43:51.106+00|2020-09-03 14:43:51.106+00|2627
235|life|2020-09-03 14:45:46.671+00|2020-09-03 14:45:46.671+00|2691
236|life|2020-09-03 14:45:50.334+00|2020-09-03 14:45:50.334+00|2691
237|trump|2020-09-03 14:45:52.484+00|2020-09-03 14:45:52.484+00|2691
238|podt|2020-09-03 14:46:02.08+00|2020-09-03 14:46:02.08+00|2691
239|post|2020-09-03 14:46:02.961+00|2020-09-03 14:46:02.961+00|2691
240|post|2020-09-03 14:46:04.524+00|2020-09-03 14:46:04.524+00|2691
241|medicare|2020-09-03 14:46:17.933+00|2020-09-03 14:46:17.933+00|2627
242|foreign|2020-09-03 14:46:31.186+00|2020-09-03 14:46:31.186+00|2627
243|jack|2020-09-03 14:49:10.381+00|2020-09-03 14:49:10.381+00|2627
244|china|2020-09-03 14:49:47.693+00|2020-09-03 14:49:47.693+00|2627
245|europe|2020-09-03 14:49:54.45+00|2020-09-03 14:49:54.45+00|2627
246|energy|2020-09-03 14:49:59.398+00|2020-09-03 14:49:59.398+00|2627
247|Asia|2020-09-03 14:50:30.442+00|2020-09-03 14:50:30.442+00|2638
248|economy|2020-09-03 14:51:22.988+00|2020-09-03 14:51:22.988+00|2627
249|covid|2020-09-03 14:51:40.649+00|2020-09-03 14:51:40.649+00|2750
250|""|2020-09-03 14:52:04.99+00|2020-09-03 14:52:04.99+00|2577
251|covid|2020-09-03 14:56:43.778+00|2020-09-03 14:56:43.778+00|1976
252|nuclear energy|2020-09-03 14:57:11.55+00|2020-09-03 14:57:11.55+00|2577
253|Molly_5679|2020-09-03 14:57:16.239+00|2020-09-03 14:57:16.239+00|2528
254|Molly_5679|2020-09-03 14:58:58.634+00|2020-09-03 14:58:58.634+00|2529
255|Dow|2020-09-03 14:59:52.6+00|2020-09-03 14:59:52.6+00|2638
256|Dow|2020-09-03 15:00:03.449+00|2020-09-03 15:00:03.449+00|2638
257|dow|2020-09-03 15:00:26.016+00|2020-09-03 15:00:26.016+00|2638
258|dow|2020-09-03 15:00:28.334+00|2020-09-03 15:00:28.334+00|2638
259|covid|2020-09-03 15:00:48.113+00|2020-09-03 15:00:48.113+00|2750
260|covid|2020-09-03 15:00:49.197+00|2020-09-03 15:00:49.197+00|2627
261|Jacob_5538|2020-09-03 15:01:00.628+00|2020-09-03 15:01:00.628+00|2530
262|Molly_5679|2020-09-03 15:01:33.266+00|2020-09-03 15:01:33.266+00|2530
263|Molly_5679|2020-09-03 15:01:57.807+00|2020-09-03 15:01:57.807+00|2531
264|Luke_821|2020-09-03 15:02:07.885+00|2020-09-03 15:02:07.885+00|2531
265|Molly_5679|2020-09-03 15:06:57.913+00|2020-09-03 15:06:57.913+00|2528
266|Molly_5679|2020-09-03 15:07:26.693+00|2020-09-03 15:07:26.693+00|2530
267|Molly_5679|2020-09-03 15:07:53.388+00|2020-09-03 15:07:53.388+00|2531
268|Molly_5679|2020-09-03 15:08:16.043+00|2020-09-03 15:08:16.043+00|2529
269|Luke_821|2020-09-03 15:08:24.166+00|2020-09-03 15:08:24.166+00|2529
270|Nuclear Power|2020-09-03 15:09:08.493+00|2020-09-03 15:09:08.493+00|2577
271|Nuclear|2020-09-03 15:10:26.421+00|2020-09-03 15:10:26.421+00|2577
272|Terrorist|2020-09-03 15:10:36.21+00|2020-09-03 15:10:36.21+00|2577
273|""|2020-09-03 15:14:33.143+00|2020-09-03 15:14:33.143+00|2564
274|""|2020-09-03 15:16:16.55+00|2020-09-03 15:16:16.55+00|2564
275|covid|2020-09-03 15:17:23.198+00|2020-09-03 15:17:23.198+00|2704
276|nuclear|2020-09-03 15:24:22.573+00|2020-09-03 15:24:22.573+00|2527
277|World|2020-09-03 15:26:57.976+00|2020-09-03 15:26:57.976+00|2603
278|Government|2020-09-03 15:27:09.608+00|2020-09-03 15:27:09.608+00|2603
279|tax|2020-09-03 15:27:10.242+00|2020-09-03 15:27:10.242+00|2627
280|wealthy|2020-09-03 15:27:15.942+00|2020-09-03 15:27:15.942+00|2627
281|environment|2020-09-03 15:27:20.348+00|2020-09-03 15:27:20.348+00|2627
282|energy|2020-09-03 15:29:04.316+00|2020-09-03 15:29:04.316+00|2627
283|Molly_5679|2020-09-03 15:29:57.224+00|2020-09-03 15:29:57.224+00|2529
284|Molly_5679|2020-09-03 15:30:33.267+00|2020-09-03 15:30:33.267+00|2529
285|Jamal_3690|2020-09-03 15:31:51.565+00|2020-09-03 15:31:51.565+00|2527
286|national|2020-09-03 15:32:18.452+00|2020-09-03 15:32:18.452+00|2601
287|national|2020-09-03 15:32:18.53+00|2020-09-03 15:32:18.53+00|2601
288|america|2020-09-03 15:38:25.319+00|2020-09-03 15:38:25.319+00|2623
289|covid|2020-09-03 15:50:53.419+00|2020-09-03 15:50:53.419+00|2603
290|nuclear|2020-09-03 15:52:39.262+00|2020-09-03 15:52:39.262+00|2603
291|world affarirs|2020-09-03 15:54:05.81+00|2020-09-03 15:54:05.81+00|2421
292|terrorism|2020-09-03 15:56:00.218+00|2020-09-03 15:56:00.218+00|2603
293|terrorism|2020-09-03 15:59:07.851+00|2020-09-03 15:59:07.851+00|2603
294|covid|2020-09-03 15:59:29.386+00|2020-09-03 15:59:29.386+00|1976
295|wealthtax|2020-09-03 15:59:42.556+00|2020-09-03 15:59:42.556+00|1976
296|nuclear|2020-09-03 16:24:07.987+00|2020-09-03 16:24:07.987+00|2603
297|allison|2020-09-03 16:24:15.357+00|2020-09-03 16:24:15.357+00|2409
298|covid|2020-09-03 16:24:25.157+00|2020-09-03 16:24:25.157+00|2603
299|allison|2020-09-03 16:34:14.286+00|2020-09-03 16:34:14.286+00|2409
300|How likely is it that the Dow Jones will end the year 2020 down at least 20 from its peak in February 2020|2020-09-03 16:34:32.008+00|2020-09-03 16:34:32.008+00|2570
301|How likely is it that the Dow Jones will end the year 2020 down at least 20 from its peak in February 2020|2020-09-03 16:34:54.507+00|2020-09-03 16:34:54.507+00|2570
302|nuclear|2020-09-03 16:37:08.344+00|2020-09-03 16:37:08.344+00|2527
303|nuclear|2020-09-03 16:38:33.177+00|2020-09-03 16:38:33.177+00|2527
304|nuclear|2020-09-03 16:38:45.879+00|2020-09-03 16:38:45.879+00|2527
305|brad pitt|2020-09-03 16:49:28.86+00|2020-09-03 16:49:28.86+00|2297
306|covid|2020-09-03 17:22:47.095+00|2020-09-03 17:22:47.095+00|2603
307|GMO|2020-09-03 17:25:45.099+00|2020-09-03 17:25:45.099+00|2658
308|allison|2020-09-03 17:25:53.923+00|2020-09-03 17:25:53.923+00|2410
309|GMO|2020-09-03 17:25:53.924+00|2020-09-03 17:25:53.924+00|2658
310|katherine|2020-09-03 17:26:44.489+00|2020-09-03 17:26:44.489+00|2410
311|carly|2020-09-03 17:27:04.269+00|2020-09-03 17:27:04.269+00|2410
312|cody|2020-09-03 17:52:15.6+00|2020-09-03 17:52:15.6+00|2597
313|Tax|2020-09-03 17:54:37.126+00|2020-09-03 17:54:37.126+00|2637
314|Tax|2020-09-03 17:58:26.56+00|2020-09-03 17:58:26.56+00|2637
315|tax|2020-09-03 18:06:02.421+00|2020-09-03 18:06:02.421+00|2687
316|tax|2020-09-03 18:06:21.509+00|2020-09-03 18:06:21.509+00|2687
317|health care|2020-09-03 18:07:14.51+00|2020-09-03 18:07:14.51+00|2687
318|healthcare|2020-09-03 18:07:19.726+00|2020-09-03 18:07:19.726+00|2687
319|terrorist|2020-09-03 18:08:30.864+00|2020-09-03 18:08:30.864+00|2687
320|terror|2020-09-03 18:08:34.779+00|2020-09-03 18:08:34.779+00|2687
321|terror|2020-09-03 18:09:12.79+00|2020-09-03 18:09:12.79+00|2687
322|health|2020-09-03 18:10:00.436+00|2020-09-03 18:10:00.436+00|2687
323|healthcare|2020-09-03 18:10:07.385+00|2020-09-03 18:10:07.385+00|2687
324|healthcare|2020-09-03 18:10:16.76+00|2020-09-03 18:10:16.76+00|2687
325|tax|2020-09-03 18:11:18.866+00|2020-09-03 18:11:18.866+00|2687
326|environment|2020-09-03 18:15:08.793+00|2020-09-03 18:15:08.793+00|2527
327|""|2020-09-03 18:15:39.968+00|2020-09-03 18:15:39.968+00|2391
328|medicare|2020-09-03 18:15:45.585+00|2020-09-03 18:15:45.585+00|2527
329|healthcare|2020-09-03 18:15:57.116+00|2020-09-03 18:15:57.116+00|2527
330|""|2020-09-03 18:16:21.156+00|2020-09-03 18:16:21.156+00|2391
331|""|2020-09-03 18:23:03.242+00|2020-09-03 18:23:03.242+00|2618
332|malik|2020-09-03 18:32:05.165+00|2020-09-03 18:32:05.165+00|2542
333|covid|2020-09-03 19:10:48.007+00|2020-09-03 19:10:48.007+00|2544
334|amy|2020-09-03 19:12:49.628+00|2020-09-03 19:12:49.628+00|2544
335|dowjones|2020-09-03 19:13:41.726+00|2020-09-03 19:13:41.726+00|2544
336|dowjones|2020-09-03 19:14:48.868+00|2020-09-03 19:14:48.868+00|2544
337|dowjones|2020-09-03 19:15:33.201+00|2020-09-03 19:15:33.201+00|2544
